,sigma,env: rf,env: S0
2022-08-19,0.008007435740261783,8.75236346555841e-05,4228.48
2022-08-26,0.010351280192761207,9.37300495240656e-05,4057.66
2022-09-02,0.011118231072612502,9.760415525894572e-05,3924.26
2022-09-09,0.009576655049522386,0.00010070073002266255,4067.36
2022-09-16,0.009576677742061883,0.00010495459470871715,3873.33
2022-09-23,0.012935237748313521,0.0001045680673463778,3693.23
2022-09-30,0.014241350839132473,0.00010920392277746771,3585.62
2022-10-07,0.013033123351637149,0.00011845948390121208,3639.66
2022-10-14,0.013953411097066352,0.0001288463560800146,3583.07
2022-10-21,0.013053507106008456,0.00013843974798288805,3752.75
2022-10-28,0.012050682056704542,0.00014609786618535736,3901.06
2022-11-04,0.010668442691865707,0.00014533271634609157,3770.55
2022-11-11,0.009743438271655983,0.0001445674195510449,3992.93
2022-11-18,0.009517840208532165,0.0001529776110411607,3965.34
2022-11-25,0.008552547012773106,0.0001617511456717402,4026.12
2022-12-02,0.008355487702041683,0.0001522137812646207,4071.7
2022-12-09,0.010080239911588317,0.0001483924345326848,3934.38
2022-12-16,0.009049404918016653,0.00015335947102901315,3852.36
2022-12-23,0.009011751154906072,0.00014801009822229538,3844.82
2022-12-30,0.009253553715585863,0.00016022670055493293,3839.5
2023-01-06,0.00903332759909526,0.0001678431007052783,3895.08
2023-01-13,0.007148442675012623,0.00017772270657090417,3999.09
2023-01-20,0.00714829565167657,0.00018189517720434978,3972.61
2023-01-27,0.007146080157588573,0.00017886108646547605,4070.56
2023-02-03,0.007134011792089947,0.00017886108646547605,4136.48
2023-02-10,0.007133954820412595,0.0001807576638885866,4090.46
2023-02-17,0.007133621774043264,0.00017999914123811855,4079.09
2023-02-24,0.007472703835917173,0.000181516042177865,3970.04
2023-03-03,0.0074726398750056735,0.00018416923014275,4045.64
2023-03-10,0.009609840260641727,0.00018644198605977103,3861.59
2023-03-17,0.010282541716926467,0.0001674626262520018,3916.64
2023-03-24,0.009131769311717969,0.00016632098486990543,3970.99
2023-03-31,0.00746540466522007,0.00018379031143078706,4109.31
2023-04-14,0.006295460400699027,0.00016670156834108774,4137.64
2023-04-21,0.006291704109673692,0.00013115087748549747,4133.52
2023-04-28,0.006257866974987736,0.00016898430614076254,4169.48
2023-05-05,0.006072302923935112,0.00021587045473081545,4136.25
2023-05-12,0.005732004264862019,0.00022338133879551414,4124.08
2023-05-19,0.005526179423756623,0.00021699799022467658,4191.98
2023-05-26,0.0055256354431028705,0.000232001390587655,4205.45
2023-06-02,0.005277705479615955,0.0002042005349363052,4282.37
2023-06-09,0.005260764598258906,0.0002030693720416199,4298.86
2023-06-16,0.005258809323020997,0.00020042874257408805,4409.59
2023-06-23,0.004896755055071877,0.00020005136690737224,4348.33
2023-06-30,0.0045277664884983086,0.00020269224637736727,4450.38
2023-07-07,0.004525333838526327,0.00020570825281929217,4398.95
2023-07-14,0.00450371621718856,0.00020759209831888725,4505.42
2023-07-21,0.00450342226808871,0.0002098515379793664,4536.34
2023-07-28,0.004503265559398526,0.0002113571196757924,4582.23
2023-08-04,0.004503246611288991,0.00021399051964765547,4478.03
2023-08-11,0.004503208091573372,0.00021399051964765547,4464.05
2023-08-18,0.004924037403275855,0.0002136144261815076,4369.71
2023-08-25,0.004921980924943839,0.00021474260011022928,4405.71
2023-09-01,0.004838245825974155,0.0002128621327464053,4515.77
2023-09-08,0.004838151765593358,0.0002132382972168667,4457.49
2023-09-15,0.0048374427956601055,0.0002128621327464053,4450.32
2023-09-22,0.005200442476037228,0.0002132382972168667,4320.06
