,v_0,theta,kappa,sigma_v,rho,lam,muj,sigj,env: rf,env: S0
2023-05-19,0.0004530671975142273,0.000550775605969867,0.014357366331798078,0.027941707866893616,-0.06559717693404513,0.0038810488242419458,-0.0008894590964478515,1.7310440140367153e-06,0.00021699799022467658,4191.98
2023-05-26,0.00045210523468182346,0.0005500623613960027,0.014359369548017508,0.027909543763786075,-0.0656189567844831,0.003881025310029917,-0.0007949186319986531,1.731043072918332e-06,0.000232001390587655,4205.45
2023-06-02,0.00045210868673132605,0.0005500627127910388,0.014359415022705454,0.02790956923949862,-0.0656189567360678,0.0038810253100217485,-0.0007949185970962956,1.731043072917973e-06,0.0002042005349363052,4282.37
2023-06-09,0.00044674652221154406,0.0005485336569768279,0.014378584803556794,0.027901820256365045,-0.06902575408454291,0.0038769033294350653,0.0015629844051087492,1.730980921466343e-06,0.0002030693720416199,4298.86
2023-06-16,0.00044335309792341537,0.0005451653505487512,0.014393298036582534,0.02788722412965825,-0.07252586637341132,0.0038763245710928995,-2.341831644856503e-06,1.730951810056884e-06,0.00020042874257408805,4409.59
2023-06-23,0.0004438380264413133,0.0005454115869045961,0.014397242835493415,0.027881431093986803,-0.08845407266978696,0.0038719589450399985,0.0007201039438282409,1.7305165221251464e-06,0.00020005136690737224,4348.33
2023-06-30,0.0004438380264413133,0.0005454115869045961,0.014397242835493415,0.027881431093986803,-0.08845407266978696,0.0038719589450399985,0.0007201039438282409,1.7305165221251464e-06,0.00020269224637736727,4450.38
2023-07-07,0.00044343806954719146,0.0005461645461124416,0.014396552181725716,0.027880524923329597,-0.08843054195455441,0.0038718311109281985,5.5523052451384304e-05,1.7305049008139188e-06,0.00020570825281929217,4398.95
2023-07-14,0.00044345814232329316,0.0005462016792498675,0.014397272716908098,0.027880571045445036,-0.08843054192930545,0.0038718311109271707,5.5523046012528094e-05,1.7305049008129238e-06,0.00020759209831888725,4505.42
2023-07-21,0.0004420066450825363,0.0005459576963714952,0.014447562094427432,0.02789152315367785,-0.08976965933495482,0.0038714800484440323,-7.103005882814528e-05,1.730333928101982e-06,0.0002098515379793664,4536.34
2023-07-28,0.00043806113358192276,0.0005454633255025291,0.014445677332601683,0.027898853288410477,-0.09799375982212635,0.003870430754101514,0.0002487189742964195,1.7300165609196913e-06,0.0002113571196757924,4582.23
2023-08-04,0.00043629773831346715,0.0005460964455802404,0.014448849881056176,0.02790255419409572,-0.10291030925683645,0.0038642819940681583,-0.0004991053093300167,1.7298124366451112e-06,0.00021399051964765547,4478.03
2023-08-11,0.0004358492216307206,0.0005459441791754317,0.014449744155033303,0.027899714632482274,-0.10401796327480396,0.003863733134835591,0.002595141269174829,1.7297604727328778e-06,0.00021399051964765547,4464.05
2023-08-18,0.00043377359328815735,0.0005440503513977178,0.01445300139664045,0.027887908117000048,-0.10679467920955704,0.0038619952150872067,9.648119126877447e-07,1.729738114043637e-06,0.0002136144261815076,4369.71
2023-08-25,0.000434295509824887,0.0005441709407268623,0.014452706682827242,0.027887930761620213,-0.10901962265254647,0.0038619691341505134,-4.030673484360694e-05,1.7297263192852513e-06,0.00021474260011022928,4405.71
2023-09-01,0.0004303046034477529,0.000541134257926933,0.014449395687381943,0.027868500128607695,-0.1319833878860503,0.0038560077025996693,-5.3950757835447035e-05,1.72869026362774e-06,0.0002128621327464053,4515.77
2023-09-08,0.00042995564197473605,0.0005384421562301386,0.01439449732009108,0.027875165116651716,-0.23033007758551782,0.002007623583571663,0.0002696655709692503,4.916213568389249e-07,0.0002132382972168667,4457.49
2023-09-15,0.00042620041846403237,0.0005388198858262373,0.014397651595451576,0.02793587209621812,-0.252028553528012,0.001980001396774738,-0.00023531539004994036,4.915959898831071e-07,0.0002128621327464053,4450.32
2023-09-22,0.0004119098747841788,0.0005394234599071221,0.014760223809303011,0.029474340675936933,-0.33811674156932975,0.0018350038261903568,0.0016435572876060246,4.914999372330538e-07,0.0002132382972168667,4320.06
2023-09-29,0.00041038730938193875,0.0005389788416161437,0.014760641614486586,0.029481301878932668,-0.3447134147329744,0.0018290641566116725,0.00032286047814486117,4.91481289210078e-07,0.00021436657762152755,4288.05
