,sigma,lam,muj,sigj,env: rf,env: S0
2022-09-16,0.009658834312966352,0.05941569501848642,0.0021985358410427044,0.02739590175231308,0.00010495459470871715,3873.33
2022-09-23,0.010303684764429893,0.06314653889302381,0.001830058617344342,0.03222198509936626,0.0001045680673463778,3693.23
2022-09-30,0.012848433018254538,0.05533904204184485,0.000634448874702884,0.02578392227579794,0.00010920392277746771,3585.62
2022-10-07,0.00967157432896296,0.064078844705684,0.004203244145865815,0.0343961585490555,0.00011845948390121208,3639.66
2022-10-14,0.012068468080840724,0.058218447021164126,0.0022516406922920788,0.028986139249810014,0.0001288463560800146,3583.07
2022-10-21,0.009977976335084956,0.06567870145111776,0.0056527699639701435,0.03312898308491447,0.00013843974798288805,3752.75
2022-10-28,0.011894334338386424,0.1344752727311809,0.0008804982814968626,0.00034100974878719384,0.00014609786618535736,3901.06
2022-11-04,0.0068758394599637606,0.06341403825684512,0.004584831945645692,0.0328862055152565,0.00014533271634609157,3770.55
2022-11-11,0.006139290090326052,0.06048555009426968,0.004506694468093833,0.030876271506494635,0.0001445674195510449,3992.93
2022-11-18,0.005817724178437272,0.06049615438494408,0.0025469686022997454,0.03071688330997941,0.0001529776110411607,3965.34
2022-11-25,0.006091563058763758,0.0574952780107426,0.006483667201000378,0.025401740166221706,0.0001617511456717402,4026.12
2022-12-02,0.005333957507727804,0.05708327168696037,0.003352525503707702,0.02830217423919901,0.0001522137812646207,4071.7
2022-12-09,0.008955581217684354,0.053593030456486786,-0.000683013598828834,0.02052143501891985,0.0001483924345326848,3934.38
2022-12-16,0.005839280375864763,0.05874548738122477,0.007302739457667551,0.028721123262576316,0.00015335947102901315,3852.36
2022-12-23,0.005482416885974736,0.06000506708143918,0.0017372180936177275,0.029735873917883408,0.00014801009822229538,3844.82
2022-12-30,0.006431575629929003,0.06118093532515923,0.0018062869556703806,0.030466784473635617,0.00016022670055493293,3839.5
2023-01-06,0.005519582632655003,0.059651097867699614,0.0005811705992772116,0.02902588726913864,0.0001678431007052783,3895.08
2023-01-13,0.004135993256114829,0.05543446023449899,0.0008074358546023486,0.02564427127715295,0.00017772270657090417,3999.09
2023-01-20,0.00402629055353825,0.054979838975211116,0.0009078380248773902,0.030593118882943835,0.00018189517720434978,3972.61
