,sigma,theta,nu,env: rf,env: S0
2022-01-14,0.007855204722493351,-5.375295621184018e-05,0.7722778214147628,1.98363308512306e-06,4662.85
2022-01-21,0.01129373950614565,-0.0016619965825426276,0.7528445711515194,1.98363308512306e-06,4397.94
2022-01-28,0.010156352531226922,6.892957900399842e-05,0.770544985077077,1.5869854708139286e-06,4431.85
2022-02-04,0.009242516753500917,8.008286517064432e-05,0.772416892069163,1.98363308512306e-06,4500.53
2022-02-11,0.010923685427657327,-0.002252085085297585,0.7716478967952797,1.1902983632072761e-06,4418.64
2022-02-18,0.01058808649213912,-0.005326171840104063,0.7521074560245699,1.1902983632072761e-06,4348.87
2022-02-25,0.010651590068141353,0.00016093104386110575,0.7724235037685642,1.1902983632072761e-06,4384.65
2022-03-04,0.01241530676413693,-0.0013483648231804926,0.7683833625091777,5.947938814809817e-06,4328.87
2022-03-11,0.011756310275543627,-0.007122027512820007,0.6367403687561161,6.740326825349641e-06,4204.31
2022-03-18,0.009465354733534645,-0.000643506397587196,0.7600786902009471,7.532557270595319e-06,4463.12
2022-03-25,0.008268658779290882,0.00014844495732539844,0.7723879013974387,6.740326825349641e-06,4543.06
2022-04-01,0.007831002245959218,0.00015398806891522772,0.7723124512256219,5.947938814809817e-06,4545.86
2022-04-08,0.008379493289802566,3.853452449889239e-05,0.7723498505890435,7.92861342602258e-06,4488.28
2022-04-22,0.010926727544933795,-0.0019589584026085904,0.7665240958949963,1.8212278277252025e-05,4271.78
2022-04-29,0.010237607388607755,-0.011049160316141017,0.7836751049343476,1.4655551191511407e-05,4131.93
2022-05-06,0.011555553395707309,0.0032606051884231666,0.7721615753509129,1.900223106310328e-05,4123.34
2022-05-13,0.01188824861580674,0.0008597824726906884,0.772610294694691,2.6498981064992932e-05,4023.89
2022-05-20,0.012370192924704992,0.0008793659688406469,0.7723985322746582,2.492188974012599e-05,3901.36
2022-05-27,0.011496373664396861,0.000242329086885351,0.7723060138863435,2.7287292685862496e-05,4158.24
2022-06-03,0.011024801253791515,0.0016314846736442512,0.7672506601916596,3.4375087153648565e-05,4108.54
2022-06-10,0.013338019434918512,-0.0004486424442721808,0.772577209502052,4.341340280400452e-05,3900.86
2022-06-17,0.01302910858882376,0.0017625094805304223,0.7690462709940702,4.5375543826331466e-05,3674.84
2022-06-24,0.011378458985419943,0.0002613099916628063,0.7724239526436203,4.6944561201023305e-05,3911.74
