,mu,omega,alpha[1],beta[1]
2021-11-05,0.12042368806763742,0.15936405205268916,0.19547496373573586,0.5412774142378253
2021-11-08,0.12033958477607122,0.15564240575310084,0.2005850686936185,0.5419567293100203
2021-11-09,0.11471981524519527,0.15638488304140352,0.20367421311687917,0.5376166490982798
2021-11-10,0.1111609044534708,0.1580878984251065,0.20156030077046636,0.5376783981137025
2021-11-11,0.10893410154978718,0.15359720495236756,0.19689771603430706,0.5467257796024936
2021-11-12,0.1145258020634118,0.15388379312389258,0.19453765339157736,0.5471738416877199
2021-11-15,0.11104688958057155,0.15269391781924965,0.19212427395132659,0.5491470839494423
2021-11-16,0.1085628208099214,0.15253219829162143,0.19251265146794025,0.5475530519541847
2021-11-17,0.10852101197971153,0.15109958359875844,0.1952597980350812,0.5462460972694233
2021-11-18,0.11410585247622433,0.1537042586377586,0.19992531320273355,0.5363854379442742
2021-11-19,0.11223752943149401,0.14962855060786848,0.20333516769126872,0.539659864755787
2021-11-22,0.11225548217576391,0.14840502644663264,0.2030624693836663,0.5409743109891635
2021-11-23,0.11084530076428728,0.14628193058727731,0.21015434830491442,0.5367324711020804
2021-11-24,0.10501282534673263,0.13923885500072528,0.21529511099153203,0.5440609400616827
2021-11-26,0.09484357342612655,0.18646614033123987,0.17879180374179335,0.5098198885100081
2021-11-29,0.09590013050294906,0.18865059974778356,0.18109645701325627,0.5048511688847646
2021-11-30,0.09433808564716203,0.1904373299006432,0.19984414935227393,0.49240834431637776
2021-12-01,0.08807229287159943,0.1871632907197562,0.20084695710527875,0.4974293723704751
2021-12-02,0.08968267618238356,0.1884132721554083,0.2025857714985889,0.49573917102444504
2021-12-03,0.08838272956347415,0.19204159007467483,0.20389003581091977,0.48854831081634986
2021-12-06,0.08678909216229358,0.1905527140640346,0.20471217593924668,0.49154005844411675
2021-12-07,0.09136387010295366,0.1799756066817919,0.21025566540750754,0.5130225381372796
2021-12-08,0.09257105075951065,0.18158553257775453,0.20523464330978708,0.5126233437471318
2021-12-09,0.09487047641316664,0.18322597827681528,0.20641957596036153,0.5088725565316805
2021-12-10,0.098015896344461,0.18360740003189407,0.20569282536738054,0.5093812204472018
2021-12-13,0.09540356889711142,0.18328612633395258,0.2079904611049445,0.5090925210514889
2021-12-14,0.09402310487342909,0.18574644409942698,0.21117611944122508,0.502251156667406
2021-12-15,0.0944880842239873,0.17875823486279846,0.21600095098217062,0.5147562372684678
2021-12-16,0.09240153683155287,0.18179857685572545,0.21577834470990087,0.5106940409179774
2021-12-17,0.08830795786120293,0.18324023358531474,0.21761856197800472,0.5085958420688683
2021-12-20,0.08840264843747508,0.18474732646562386,0.22013766166133616,0.5065456782415229
2021-12-21,0.09571954718274686,0.18571092710072715,0.2281498500419992,0.5037459648432121
