,mu,omega,alpha[1],gamma[1],beta[1]
2022-08-19,0.07241410114015728,0.036041514040040024,0.11451366285122518,0.23446932957192218,0.7607862298226635
2022-08-22,0.07240172805885087,0.036406247166973056,0.11613709475173814,0.23950276800917747,0.7581593241207246
2022-08-23,0.07219524958174896,0.03617047717643562,0.11619286841229201,0.23793339309943318,0.7588017296575215
2022-08-24,0.06960031860958683,0.035739970226426436,0.11632248835863328,0.2330756083300022,0.76100662486699
2022-08-25,0.07143093846649001,0.035876160891607924,0.11669084404801701,0.2334040684488709,0.7603894164792225
2022-08-26,0.07162262270364993,0.03592200610282174,0.11819380893625628,0.2400468498398005,0.758562332609366
2022-08-29,0.07115214881243724,0.036098542111455266,0.11751641934983785,0.23816032162904263,0.7593244426906428
2022-08-30,0.0710153626628099,0.03623387636032013,0.11730559926136942,0.23710116097069078,0.759550098722099
2022-08-31,0.07082840530058189,0.036291438217306536,0.11733836547966214,0.23612466480364652,0.759657175886239
2022-09-01,0.06998377815260273,0.03641021698640475,0.11714685209208231,0.23513949276481508,0.7598722602088597
2022-09-02,0.06836960430206045,0.036582197623214394,0.11650760697283542,0.23538576082071072,0.760109391519399
2022-09-06,0.06822640415748873,0.03659951944654098,0.11723718435659274,0.2350920510061332,0.7595331672897194
2022-09-07,0.07259104893750379,0.03636466675963905,0.11595237317558989,0.23527668461865386,0.7605644729901961
2022-09-08,0.07201089601709909,0.03669119180406507,0.11585110152633318,0.235892449316604,0.7599478533957733
2022-09-09,0.07255374120734435,0.03660529348534515,0.11628443152920032,0.23598361657825248,0.7597780871861712
2022-09-12,0.07319632187780914,0.036515435588679694,0.11664042018156402,0.23567792583077263,0.759613795439795
2022-09-13,0.06941447494462988,0.03153498387230777,0.11913239512741605,0.21127346906092148,0.7752308703419707
2022-09-14,0.06756646485061395,0.031539838178265694,0.11870848507710789,0.20992128957302156,0.7763308701363812
2022-09-15,0.06712331311794509,0.03208117622070499,0.11822022856590358,0.2092833475392591,0.7762051438409368
2022-09-16,0.06846317862415083,0.03247678659715693,0.11810025369697177,0.20765160369826977,0.776078926942228
2022-09-19,0.06767615901544086,0.03309952610159269,0.11769735132450644,0.20681084182421672,0.7757739983931685
2022-09-20,0.06687381750226801,0.03374777221153459,0.11740199151211775,0.2068107124846804,0.7751565138580045
2022-09-21,0.06612745446275312,0.034283245132945124,0.1170185820762355,0.2075558144607706,0.7746101815584266
2022-09-22,0.0658139720997472,0.034785380992345405,0.11698467873225002,0.20699616148859634,0.774107480554715
2022-09-23,0.06768414890832979,0.03470453320774877,0.11687199751999955,0.20713267068534744,0.7742046131135919
