,mu,omega,alpha[1],beta[1],nu
2023-09-29,0.10959864961716856,0.03226871527229596,0.1759263836688435,0.81712648526085,6.598394433500763
2023-10-02,0.10923174790586664,0.031875298864912055,0.17462551731559106,0.8180754562622522,6.644787216787124
2023-10-03,0.10856892514023792,0.03165922737824845,0.17320789602512898,0.8193094627618677,6.742178130350117
2023-10-04,0.10896715516203943,0.03144378304733235,0.1724038262395422,0.8197197067230669,6.819136355977291
2023-10-05,0.10870591632487038,0.03125364884302839,0.171599486915236,0.8200590954057314,6.880469514543005
2023-10-06,0.10973030010011295,0.031298517156926484,0.1716916932275287,0.8196244077861187,6.985645500532099
2023-10-09,0.11048220229330592,0.03129315248518014,0.17155350842106465,0.8194694426705909,7.012719449678525
2023-10-10,0.1111217956727017,0.03136730087406882,0.17173391236721736,0.8188907526871559,7.058665300143977
2023-10-11,0.11165714139059416,0.031546125025515605,0.17247990260244964,0.817731145910939,7.114452245116184
2023-10-12,0.11083293682141142,0.03183643643355887,0.17315365687998396,0.8166059036523682,7.1969499287367205
2023-10-13,0.11053928133293861,0.031665065839533976,0.17348996176322629,0.8167888061173312,7.199889293382243
2023-10-16,0.11219956895485267,0.03175304321133814,0.17365648840109535,0.8168363250015647,7.175832630509271
2023-10-17,0.11178748202299003,0.03165861871739428,0.17338250290863613,0.8170602230440743,7.135053900736991
2023-10-18,0.11059719729366113,0.031974689286534706,0.17324946357753426,0.8169815445905009,7.192627140337948
2023-10-19,0.10926914008716636,0.0320701572152227,0.17355319135269578,0.8169120983828122,7.154346886647696
2023-10-20,0.10870312601191846,0.03234109638704599,0.1746323907990462,0.8156583149422432,7.254120476422135
2023-10-23,0.10877619536668787,0.032202785649520685,0.17367870654146925,0.8165162819574702,7.192182607292338
2023-10-24,0.10919950824174389,0.03229630428337138,0.17387074069804065,0.8158992780028842,7.257135700879419
2023-10-25,0.1086243618269795,0.03265208784707865,0.17517320469162648,0.8145367114482676,7.344943516290527
2023-10-26,0.10820193008853789,0.03299306958728928,0.1764483834275622,0.8130552694646727,7.417990433596738
2023-10-27,0.10848564434640943,0.03278322999569146,0.1764997066438588,0.8133709178672042,7.4520748221337145
2023-10-30,0.10870151838047917,0.032801640885075575,0.17669465580786975,0.8133157875676837,7.445332604802144
2023-10-31,0.1097958386949085,0.03281074781228339,0.17673315617083624,0.8133866969532906,7.394462555533263
2023-11-01,0.11064501127825434,0.032814165811824156,0.17673172693197137,0.8132901168502243,7.405593838788401
2023-11-02,0.11098128855565656,0.03288628883422926,0.1776818119685903,0.812903453117148,7.405501488930425
2023-11-03,0.11103372831105832,0.03283297145428291,0.17725033995185338,0.8131845703463978,7.400787995284906
2023-11-06,0.11089407351938406,0.032760384425926124,0.17643741627897094,0.8137065474897421,7.37266283259883
2023-11-07,0.11148979696405975,0.0327603647520827,0.17609074964820115,0.8137441478846082,7.3571595378992
2023-11-08,0.11155568356838612,0.032854244497977234,0.17619977388291863,0.813280274825527,7.356594321102105
2023-11-09,0.11049319349357513,0.03290674182256246,0.17609387297721474,0.8131442694427048,7.406600320949329
2023-11-10,0.11063728440386913,0.03288713140755147,0.17623147765162334,0.8134758786360021,7.399405472632958
2023-11-13,0.11090777540032683,0.03288090081124718,0.17580602635904122,0.8135323997875248,7.3966339314443585
2023-11-14,0.11194581180468118,0.032936003179429865,0.1762910903238611,0.8134134585319976,7.411015903597944
2023-11-15,0.11282182371403132,0.03294365653673323,0.17620865943464178,0.813629926706015,7.331675169450067
2023-11-16,0.11317077649886298,0.03286733035211852,0.17542331504128492,0.8140015548029892,7.329515004658075
2023-11-17,0.11371093513313839,0.03286915558796594,0.17514696135272223,0.8139973910572862,7.305651972219876
2023-11-20,0.1141259478156043,0.03291536692531491,0.1751182612857862,0.8138122643158173,7.312029480791162
2023-11-21,0.11405786417222913,0.03302467289752817,0.17538537054552275,0.813193237582258,7.32731249786854
2023-11-22,0.11508469332284481,0.033082111110228074,0.17586354153574396,0.8127780252950131,7.270277670366885
2023-11-24,0.11593377387136633,0.03317274336690846,0.1769621468277685,0.8119596456650618,7.192476281036713
2023-11-27,0.1154729370030106,0.03320292166154823,0.17743217468749248,0.81123026480464,7.22650215554391
2023-11-28,0.1157602078024213,0.03324770602550392,0.17846725120834203,0.810126963052691,7.226150251540865
